name,twitter,twitter_tweets,twitter_followers,twitter_following,twitter_likes,twitter_joined,twitter_verified,facebook,facebook_likes,facebook_followers,facebook_verified,instagram,instagram_verified,instagram_followers,instagram_uploads,instagram_socialstates_engagement,youtube,youtube_subscribers,youtube_videos,youtube_verified,youtube_views,youtube_joined,tiktok,tiktok_following,tiktok_followers,tiktok_likes,tiktok_verified,snapchat,snapchat_verified,pinterest,pinterest_followers,pinterest_following,pinterest_verified,linkedin,site,wikipedia,wikipedia_languages_num,similarweb_total_visits,similarweb_bounce_rate,similarweb_pages_per_visit,similarweb_avg_visit_duration,mozcom_domainauthority,mozcom_root_domains,mozcom_ranking_keywords,mozcom_spam_score,statista_revenue,corewebvitals_mobile,corewebvitals_desktop,pagespeedweb_performance_m,pagespeedweb_accessibility_m,pagespeedweb_best_m,pagespeedweb_ceo_m,pagespeedweb_performance_d,pagespeedweb_accessibility_d,pagespeedweb_best_d,pagespeedweb_d_ceo,pagespeedweb_speed_index_m,pagespeedweb_speed_index_d,indeed,indeed_stars,indeed_reviews,indeed_wellbeing,etsy_results,dribbble_results,devianart_results,flickr_results,hlj_results
BMW,/bmw,43.1K,2.5M,83,16.8K,June 2013,v,/BMW,20M,20M,v,/bmw,v,36664419,10412,0.59,/BMW,1.39M,766,v,226969836,"Jan 14, 2006",/@bmw,18,1.5M,9.9M,v,x,-,x,x,x,x,/bmw-group,https://www.bmw.com,https://en.wikipedia.org/wiki/BMW,104,1.3M,50.83,3.94,00:02:28,77,41.3k,9k,3,154.25,x,v,58,99,83,99,93,99,83,100,8.9 s,2.3 s,/BMW-Group,3.8,3.7K,69,32016,2138,76.3K,565143,3462
Ford,/ford,49.1K,1.5M,17,13.0K,July 2008,v,/ford,17313094,17491215,v,/ford,v,6293439,435,0.32,/ford,2.32M,676,v,81306183,"Nov 2, 2005",/@ford,19,421.2K,1.5M,v,/ford,x,x,x,x,x,/ford-motor-company,https://www.ford.com,https://en.wikipedia.org/wiki/Ford_Motor_Company,102,16.8M,37.83,8.56,00:04:54,84,130.7k,232.1k,1,165.06,x,x,26,98,58,80,40,98,75,82,12.3 s,5.8 s,/Ford-Motor-Company,4.1,8.6K,71,64596,1902,185.3K,605986,225335
Honda,/honda,206.8K,1.2M,1475,12.3K,May 2009,v,/honda,5.4M,5.5M,v,/honda,v,5228514,2537,0.52,/honda,580K,1.5K,v,167082498,"Oct 11, 2005",/@honda,27,137.4K,650.4K,v,/officialhonda,v,/honda,105.2k,7,v,/american-honda-motor-company-inc-,https://www.honda.com,https://en.wikipedia.org/wiki/Honda,92,11.1M,37.02,6.05,00:04:10,81,80.5k,90.1k,1,124.68,x,v,23,84,83,79,67,84,92,75,12.2 s,5.9 s,/Honda,4,7.3K,69,24222,1023,93.5K,556298,4044
Hyundai,/Hyundai_Global,9054,338.4K,299,1482,January 2013,v,/Hyundaiworldwide,4.4M,4.4M,v,/hyundai,v,1288196,2753,0.53,/@HyundaiWorldwide,653K,868,v,1596252668,"Aug 4, 2011",/@hyundai_worldwide,127,1.1M,18M,v,x,-,x,x,x,x,/hyundai-motor-company,https://hyundai.com,https://en.wikipedia.org/wiki/Hyundai_Motor_Company,67,11.0M,51.66,3.88,00:02:23,82,56.1k,13.1k,24,114.55,x,x,33,94,67,86,90,93,75,82,16.9 s,4.3 s,/Hyundai-Motor-Company,4,1.3K,72,12684,298,20.6K,244823,49
Mercedes-Benz,/mercedesbenz,73.2K,4.0M,181,15.1K,July 2009,x,/MercedesBenz,22M,23M,v,/mercedesbenz,v,37387401,19479,0.2,/MercedesBenzTV,1.78M,2K,v,301921177,"Aug 17, 2007",/@mercedesbenz,6,2M,10.5M,v,x,-,x,x,x,x,/mercedes-benz_ag,https://www.mercedes-benz.com,https://en.wikipedia.org/wiki/Mercedes-Benz,103,7.1M,31.56,8.22,00:07:39,82,73.2k,15.6k,1,158.78,x,x,43,74,83,86,90,74,100,83,6.9 s,1.7 s,/Mercedes--benz-Group,4,8.4K,70,10486,1808,40.2K,313658,1073
Nissan,/NissanMotor,5818,211.7K,82,1257,November 2009,v,/nissan,22102919,22163473,v,/nissan,v,7148839,5739,0.31,/Nissan,210K,824,v,94531904,"Jan 14, 2016",/@nissan,7,19.4K,15.6K,v,x,-,x,x,x,x,/nissan-motor-corporation,https://www.nissan-global.com,https://en.wikipedia.org/wiki/Nissan,77,442.3K,63.02,2.2,00:01:05,70,24.2k,8.4k,6,74.28,x,x,53,98,100,90,81,96,100,91,7.1 s,2.9 s,/Nissan,3.8,5.9K,68,16013,581,62.4K,653501,4569
Stellantis,/stellantis,5145,92.4K,302,5367,June 2009,v,/Stellantis,136K,143K,v,/stellantis_official,x,15423,1,10.37,/UCKgSLvI1SYKOTpEToycAz7Q,5.99K,88,x,"627,34","Jul 9, 2020",x,x,x,x,-,x,-,x,x,x,x,/stellantis,https://www.stellantis.com,https://en.wikipedia.org/wiki/Stellantis,40,1.6M,36.47,4.27,00:04:58,69,28.1k,10k,38,188.75,v,x,42,98,100,84,59,98,100,83,4.2 s,1.4 s,/Stellantis,3.2,435,68,487,1,8.1K,1888,0
Toyota,/toyota,58.8K,933.6K,244,35.2K,March 2008,v,/toyota,4.3M,4.3,v,/toyota,v,5809240,2454,0.35,/@TOYOTAglobal,211K,317,x,7164747,"Nov 24, 2010",/@toyota,113,413K,1.4M,v,x,-,x,x,x,x,/toyota,https://www.toyota.com,https://en.wikipedia.org/wiki/Toyota,126,19.6M,44.67,6.43,00:03:56,83,78k,194.1k,13,270.49,x,v,29,92,75,93,60,92,83,92,15.4 s,3.6 s,/Toyota,3.9,8.7K,71,22586,1102,57K,501297,4508
Dodge,/Dodge,43.1K,2.5M,83,16.8K,June 2013,v,/Dodge,20M,20M,v,/Dodge,v,36664419,10412,0.59,/Dodge,1.39M,766,v,226969836,"Jan 14, 2006",/@Dodge,18,1.5M,9.9M,v,x,-,x,x,x,x,/Dodge-group,https://www.Dodge.com,https://en.wikipedia.org/wiki/Dodge,104,1.3M,50.83,3.94,00:02:28,77,41.3k,9k,3,154.25,x,v,58,99,83,99,93,99,83,100,8.9 s,2.3 s,/Dodge-Group,3.8,3.7K,69,32016,2138,76.3K,565143,3462
Chevrolet,/Chevrolet,43.1K,2.5M,83,16.8K,June 2013,v,/Chevrolet,20M,20M,v,/Chevrolet,v,36664419,10412,0.59,/Chevrolet,1.39M,766,v,226969836,"Jan 14, 2006",/@Chevrolet,18,1.5M,9.9M,v,x,-,x,x,x,x,/Chevrolet-group,https://www.Chevrolet.com,https://en.wikipedia.org/wiki/Chevrolet,104,1.3M,50.83,3.94,00:02:28,77,41.3k,9k,3,154.25,x,v,58,99,83,99,93,99,83,100,8.9 s,2.3 s,/Chevrolet-Group,3.8,3.7K,69,32016,2138,76.3K,565143,3462
